INSPECTION_ID,INSPECTION_DATE,INSPECTION_METHOD,INSPECTION_REPORT_DATE,INSPECTION_NOTES,NUM_INSPECTION,NUM_POI,POI_ID_1,POI_COUNTY_1,POI_SOURCE_1,POI_TRIBUTARY_TO_1,POI_LATITUDE_1,POI_LONGITUDE_1,POI_DESCRIPTION_1,PRIMARY_POI_1,POI_ID_2,POI_COUNTY_2,POI_SOURCE_2,POI_TRIBUTARY_TO_2,POI_LATITUDE_2,POI_LONGITUDE_2,POI_DESCRIPTION_2,PRIMARY_POI_2,POI_ID_3,POI_COUNTY_3,POI_SOURCE_3,POI_TRIBUTARY_TO_3,POI_LATITUDE_3,POI_LONGITUDE_3,POI_DESCRIPTION_3,PRIMARY_POI_3,INVESTIGATION_ID,INVESTIGATION_TYPE,INVESTIGATION_START_DATE,INVESTIGATION_CLOSURE_DATE,NUM_OF_VIOLATIONS,ENF_CASE_NUMBER,ENFOCEMENT_ACTION_TYPE,ENF_CASE_CLOSURE_DATE,INVESTIGATION_LEAD_STAFF,INVEST_SECTION_OR_OFFICE,INVESTIGATION_SWEEP,RESOURCE_VALUE_PRIORITY,INVESTIGATION_SUMMARY,ASSOCIATED_WR_TO_INV
1,6/6/2008,,6/6/2008,,1,1,5576,Sonoma,Unnamed stream,Matanzas Creek,38.3922,-122.6067,A031737 01,Y,,,,,,,,,,,,,,,,,1962,Unauthorized Diversion,6/6/2008,6/6/2008,0,,,,Chuck Arnold,Water Rights - Enforcement,,,,A031737
2,6/6/2012,Field,8/3/2012,,1,1,1226,Napa,Tulucay Creek,,38.29045832,-122.25933254,A025455 01,Y,,,,,,,,,,,,,,,,,4553,Compliance,4/16/2012,8/3/2012,2,ENF00518,"Notification of Violations and Voluntary Compliance, Cease and Desist Order",,Bill  Rigby,Water Rights - Enforcement,,,Inspection found licensee out ot compliance with the in-line flow meter measuring device requirement and threatening to violate the minimum bypass requirement by not keeping records of diversion or the flow in Tulucay Creek.,A025455
3,10/15/2009,,,,1,1,1359,San Joaquin,Unnamed stream,,38.2454,-121.017,A021472 01,Y,,,,,,,,,,,,,,,,,2142,Revocation - Voluntary,10/15/2009,10/22/2009,0,,,,Matthew Quint,Water Rights - Enforcement,,,Request for Revocation by William Race. Unable to revoke license because Mr. Race has a private road dam on his property which stores water.,A021472
4,10/17/2001,Field,5/23/2002,,1,2,8162,Siskiyou,Stanshaw Creek,,41.47918741,-123.50004043,A029449 01,Y,8163,Siskiyou,Stanshaw Creek,,41.47918741,-123.50004043,A029450 01,N,,,,,,,,,2122,Complaint,10/17/2001,5/23/2002,0,,,,Michael Contreras,Water Rights - Enforcement,,,"Likely lawful holder of a pre-1914 right for domestic & irrigation; and A029449, if approved, should cover power uses.  Recommendation for a physical solution including a 0.7 cfs by-pass for flow continuity between Stanshaw Creek and the Klamath River.","A029449,A029450,A029450,S015022,A029449,S015022"
5,11/17/2009,Field,3/29/2010,,1,6,7681,Mendocino,Unnamed stream,Cahto Creek,39.6662,-123.526,"A020971, A030966_o6",Y,7686,Mendocino,Cahto Creek,,39.6626,-123.525,A030966_05,,7685,Mendocino,Cahto Creek,,39.663,-123.526,A030966_04,,2305,Complaint,8/12/2009,4/12/2010,1,ENF00945,Notification of Violations and Voluntary Compliance,4/22/2015,Laura  Lavallee,Water Rights - Enforcement,,,Pursuant to Complaint 23-35-03 - Allegations for unauthorized diversion due to no permit issued under pending A030966; failure to release water stored under License 9842; and for harm to fish due to first two allegations.  No actual violations to License 9842 but potential threat of unauthorized diversion -  DWR staff report included 5 recommended actions.  Diverter filed Statement 17021 for unpermitted diversions; installed staff gage to prevent threat of unauthorized divesion and is consulting with DFG.,"A030966,A020971,A020971,A030966,S017021"
6,5/19/2010,Field,11/15/2010,,1,1,837,Sonoma,Unnamed stream,,38.5096,-122.5478,A030124 01,Y,,,,,,,,,,,,,,,,,2501,Unauthorized Diversion,5/19/2010,3/1/2012,1,ENF00094,Notification of Violations and Voluntary Compliance,3/1/2012,Scott  McFarland,Water Rights - Other,,,Over-capacity isssue resolve once flashboards were removed. License issued.,A030124
7,9/2/2010,Field,10/12/2010,,1,5,295,Sonoma,Unnamed stream,Unnamed stream,38.5589,-122.6964,A031889 01,Y,6971,Sonoma,,,38.5589,-122.6964,D032149 1,,6549,Sonoma,Unnamed stream,,38.5617,-122.7008,A018192 01,,2840,Compliance,9/2/2010,10/12/2010,1,ENF00096,"Administrative Civil Liability, Cease and Desist Order",12/7/2010,Kevin Porzio,Water Rights - Enforcement,,,,"A018192,S020502,D032149,S020506,A031889"
8,10/18/2010,,12/3/2010,,1,3,3793,Mendocino,Unnamed stream,,39.07410801,-123.44309866,A030861 01,Y,7062,Mendocino,Unnamed stream,,39.07435968,-123.43906433,A030861 02,,3216,Mendocino,Unnamed stream,,39.06701531,-123.44261962,A030861 01,,2842,Compliance,10/18/2010,8/9/2011,0,,,,Kevin Porzio,Water Rights - Enforcement,,,Redwood Grove was made aware of the potential for unauthorized diversions under their pending application.  They have been reporting diversions under A029679 and appear to be in compliance.,A030861
9,10/5/2010,,,,1,1,3356,Sonoma,Big Sulphur Creek,,38.79771895,-122.80216595,A028320 01,Y,,,,,,,,,,,,,,,,,2862,Compliance,10/5/2010,,0,ENF00800,Cease and Desist Order,9/3/2013,Jeff  Wetzel,Water Rights - Enforcement,,,,A028320
10,5/27/2010,,5/27/2010,,1,1,3809,Plumas,Unnamed stream,,39.71427999,-120.57755966,S014833 01,Y,,,,,,,,,,,,,,,,,2956,Complaint,5/27/2010,5/27/2010,0,,,,Scott  McFarland,Water Rights - Enforcement,,,,"CMPLT-851,S014833"
11,3/2/2011,Field,3/30/2011,,1,2,5569,Sonoma,,,38.1902,-122.5161,UN00101 1,Y,3940,Sonoma,Unnamed stream,,38.19,-122.5161,A032658 1,,,,,,,,,,2976,Unauthorized Diversion,3/2/2011,3/30/2011,2,ENF00101,Notification of Violations and Voluntary Compliance,4/22/2016,Kyle  Wooldridge,Water Rights - Enforcement,,,Starwines LLC  (originally investigated under Martin prior to her water right ownership change to Starwines),"A032658,UN000101"
12,2/15/2011,Field,6/13/2011,,1,3,5664,Sonoma,,,38.1724,-122.5136,UN00103 1,Y,1965,Sonoma,Unnamed stream,Petaluma River,38.1726,-122.5136,S021310 01,,518,Sonoma,Unnamed stream,Petaluma River,38.1724,-122.5136,D032167 1,,2978,Unauthorized Diversion,2/15/2011,5/25/2012,1,ENF00109,"Administrative Civil Liability, Cease and Desist Order",12/20/2013,Brian  Coats,Water Rights - Enforcement,,,"Illegal reservoir.  Henning filed a Statement on November 1, 2011 but statement was recently found.","UN000103,D032167,S021310"
14,11/8/2010,,5/10/2011,,1,5,5880,Sonoma,Maacama Creek,,38.6412,-122.7463,A029715 03,Y,6099,Sonoma,Unnamed stream,,38.64115842,-122.74630974,A029715 02,,6029,Sonoma,Unnamed stream,,38.6293,-122.7471,A029715 01,,3019,Failure to File/Report/Submit,11/8/2010,5/10/2011,0,,,,Cherilyn  Gehrt,Water Rights - Enforcement,,,The points of diversion proposed in cancelled application No. A029715 were never developed and no water was ever diverted. The small ponds on site are siltation/sedimentation ponds designed to temporarily capture storm runoff and settle out sediment before discharging downstream.,A029715
15,3/28/2011,Field,7/8/2011,,1,2,5463,Napa,,,38.282,-122.2391,UN00105 1,Y,128,Napa,,,38.282,-122.2391,A031925 1,,,,,,,,,,3021,Unauthorized Diversion,3/28/2011,7/8/2011,1,ENF00105,Cease and Desist Order,8/4/2017,Paul  Wells,Water Rights - Enforcement,,,Reservoir owner filed water right application 31925,"UN000105,A031925"
16,2/1/2011,,6/3/2011,,1,4,5465,Mendocino,,,38.9938,-123.1537,UN00106 2,Y,5464,Mendocino,,,38.9923,-123.1515,UN00106 1,,1682,Mendocino,Unnamed stream,Feliz Creek,38.9924,-123.1516,A031924 01,,3022,Unauthorized Diversion,2/1/2011,1/16/2015,1,,,,Jeff  Wetzel,Water Rights - Enforcement,,,"Filed A031924  on 2/2/2012    

Filed S017309 on 7/1/2010
Filed S017312 on 7/1/2010","A031924,UN000106"
17,2/1/2011,Field,6/3/2011,,1,3,5466,Mendocino,,,38.9866,-123.1587,UN00107 1,Y,7316,Mendocino,Unnamed stream,Feliz Creek,38.9866,-123.1585,S022386 01,,1933,Mendocino,Unnamed stream,Feliz Creek,38.9866,-123.1585,A031923 01,,3023,Unauthorized Diversion,2/1/2011,6/3/2011,2,ENF00107,Notification of Violations and Voluntary Compliance,2/1/2012,Jeff  Wetzel,Water Rights - Enforcement,,,,"A031923,UN000107,S022386"
